raw_string,canonical_name,normalized,source,confidence
B  Tech,Bachelor of Technology,b  tech,manual,1.0
BACHELER OF TECHNOLOGY,Bachelor of Technology,bacheler of technology,manual,1.0
B.Tech,Bachelor of Technology,btech,manual,1.0
BTech/BE,Bachelor of Technology,btech/be,manual,1.0
b.tech.,Bachelor of Technology,btech,manual,1.0
B.Tech.,Bachelor of Technology,btech,manual,1.0
BTECH Hons,Bachelor of Technology,btech,manual,1.0
BachelorofTechnology,Bachelor of Technology,bacheloroftechnology,manual,1.0
4-Year B.Tech,Bachelor of Technology,4-year btech,manual,1.0
B. Tech Hons,Bachelor of Technology,b tech,manual,1.0
BachelerofTechnology,Bachelor of Technology,bacheleroftechnology,manual,1.0
B.Tech(Hons),Bachelor of Technology,btech(hons),manual,1.0
BACHELOR OF TECHNOLOGY,Bachelor of Technology,bachelor of technology,manual,1.0
B.Tech Hons,Bachelor of Technology,btech,manual,1.0
B.Tech (Hons) Hons,Bachelor of Technology,btech,manual,1.0
B. Tech (Hons),Bachelor of Technology,b tech,manual,1.0
Bachelor of Technology (Hons),Bachelor of Technology,bachelor of technology,manual,1.0
B.Tech. (Hons),Bachelor of Technology,btech,manual,1.0
B.Tech. Hons,Bachelor of Technology,btech,manual,1.0
Bachelor of Technology Hons,Bachelor of Technology,bachelor of technology,manual,1.0
4-year b.tech,Bachelor of Technology,4-year btech,manual,1.0
B.Tech/BE Hons,Bachelor of Technology,btech/be,manual,1.0
B Tech/BE,Bachelor of Technology,b tech/be,manual,1.0
B Tech ,Bachelor of Technology,b tech,manual,1.0
B. TECH,Bachelor of Technology,b tech,manual,1.0
Bachelor of Technology,Bachelor of Technology,bachelor of technology,manual,1.0
B.TECH.,Bachelor of Technology,btech,manual,1.0
4-Year B.Tech (Hons),Bachelor of Technology,4-year btech,manual,1.0
Bacheler of Technology,Bachelor of Technology,bacheler of technology,manual,1.0
B Tech (Hons),Bachelor of Technology,b tech,manual,1.0
B.Tech (Hons) (Hons),Bachelor of Technology,btech,manual,1.0
4-Year B Tech,Bachelor of Technology,4-year b tech,manual,1.0
b.tech/be,Bachelor of Technology,btech/be,manual,1.0
BTECH,Bachelor of Technology,btech,manual,1.0
BTech (Hons),Bachelor of Technology,btech,manual,1.0
Bacheler of Technology (Hons),Bachelor of Technology,bacheler of technology,manual,1.0
btech,Bachelor of Technology,btech,manual,1.0
BTech,Bachelor of Technology,btech,manual,1.0
BTECH (Hons),Bachelor of Technology,btech,manual,1.0
4-YEAR B.TECH,Bachelor of Technology,4-year btech,manual,1.0
Bacheler of Technology Hons,Bachelor of Technology,bacheler of technology,manual,1.0
B.Tech/BE,Bachelor of Technology,btech/be,manual,1.0
BTech Hons,Bachelor of Technology,btech,manual,1.0
B.TECH/BE,Bachelor of Technology,btech/be,manual,1.0
bachelor of technology,Bachelor of Technology,bachelor of technology,manual,1.0
B.Tech (Hons),Bachelor of Technology,btech,manual,1.0
4-Year BTech,Bachelor of Technology,4-year btech,manual,1.0
b. tech,Bachelor of Technology,b tech,manual,1.0
bacheler of technology,Bachelor of Technology,bacheler of technology,manual,1.0
b.tech,Bachelor of Technology,btech,manual,1.0
4-Year B.Tech Hons,Bachelor of Technology,4-year btech,manual,1.0
B. Tech,Bachelor of Technology,b tech,manual,1.0
b.tech (hons),Bachelor of Technology,btech,manual,1.0
B.Tech/BE (Hons),Bachelor of Technology,btech/be,manual,1.0
B.TECH (HONS),Bachelor of Technology,btech,manual,1.0
B Tech,Bachelor of Technology,b tech,manual,1.0
B.TECH,Bachelor of Technology,btech,manual,1.0
4-YearB.Tech,Bachelor of Technology,4-yearbtech,manual,1.0
BEng (Hons),Bachelor of Engineering,beng,manual,1.0
B.E. (Hons),Bachelor of Engineering,be,manual,1.0
B. E. Hons,Bachelor of Engineering,b e,manual,1.0
B.E. Hons,Bachelor of Engineering,be,manual,1.0
bacheler of engineering,Bachelor of Engineering,bacheler of engineering,manual,1.0
b.eng,Bachelor of Engineering,beng,manual,1.0
Bachelor of Engineering,Bachelor of Engineering,bachelor of engineering,manual,1.0
BE,Bachelor of Engineering,be,manual,1.0
B  E ,Bachelor of Engineering,b  e,manual,1.0
BE (Hons),Bachelor of Engineering,be,manual,1.0
BACHELOR OF ENGINEERING,Bachelor of Engineering,bachelor of engineering,manual,1.0
B.ENG,Bachelor of Engineering,beng,manual,1.0
BE Hons Hons,Bachelor of Engineering,be,manual,1.0
B E ,Bachelor of Engineering,b e,manual,1.0
Bachelor of Engineering (Hons),Bachelor of Engineering,bachelor of engineering,manual,1.0
b.e.,Bachelor of Engineering,be,manual,1.0
B.Eng,Bachelor of Engineering,beng,manual,1.0
be hons,Bachelor of Engineering,be,manual,1.0
BE Hons,Bachelor of Engineering,be,manual,1.0
B.Eng (Hons),Bachelor of Engineering,beng,manual,1.0
BachelorofEngineering,Bachelor of Engineering,bachelorofengineering,manual,1.0
BEng,Bachelor of Engineering,beng,manual,1.0
B.E.,Bachelor of Engineering,be,manual,1.0
B. E.,Bachelor of Engineering,b e,manual,1.0
BE HONS,Bachelor of Engineering,be,manual,1.0
b. e.,Bachelor of Engineering,b e,manual,1.0
BE Hons (Hons),Bachelor of Engineering,be,manual,1.0
B E,Bachelor of Engineering,b e,manual,1.0
B Eng,Bachelor of Engineering,b eng,manual,1.0
BEng Hons,Bachelor of Engineering,beng,manual,1.0
BEHons,Bachelor of Engineering,behons,manual,1.0
beng,Bachelor of Engineering,beng,manual,1.0
BENG,Bachelor of Engineering,beng,manual,1.0
Bachelor of Engineering Hons,Bachelor of Engineering,bachelor of engineering,manual,1.0
B.Eng Hons,Bachelor of Engineering,beng,manual,1.0
bachelor of engineering,Bachelor of Engineering,bachelor of engineering,manual,1.0
Bacheler of Engineering,Bachelor of Engineering,bacheler of engineering,manual,1.0
BachelerofEngineering,Bachelor of Engineering,bachelerofengineering,manual,1.0
Bacheler of Engineering (Hons),Bachelor of Engineering,bacheler of engineering,manual,1.0
be,Bachelor of Engineering,be,manual,1.0
BACHELER OF ENGINEERING,Bachelor of Engineering,bacheler of engineering,manual,1.0
Bacheler of Engineering Hons,Bachelor of Engineering,bacheler of engineering,manual,1.0
B. E. (Hons),Bachelor of Engineering,b e,manual,1.0
B Sc,Bachelor of Science,b sc,manual,1.0
BSC Hons,Bachelor of Science,bsc,manual,1.0
BSc Hons,Bachelor of Science,bsc,manual,1.0
B.Sc.,Bachelor of Science,bsc,manual,1.0
B.Sc,Bachelor of Science,bsc,manual,1.0
B.Sc Hons,Bachelor of Science,bsc,manual,1.0
b.sc,Bachelor of Science,bsc,manual,1.0
BSc,Bachelor of Science,bsc,manual,1.0
bachelor of science,Bachelor of Science,bachelor of science,manual,1.0
B.Sc. (Hons),Bachelor of Science,bsc,manual,1.0
bsc hons,Bachelor of Science,bsc,manual,1.0
BSc Hons (Hons),Bachelor of Science,bsc,manual,1.0
BSC HONS,Bachelor of Science,bsc,manual,1.0
B. Sc (Hons),Bachelor of Science,b sc,manual,1.0
B. Sc Hons,Bachelor of Science,b sc,manual,1.0
b.sc.,Bachelor of Science,bsc,manual,1.0
b. sc,Bachelor of Science,b sc,manual,1.0
B. SC,Bachelor of Science,b sc,manual,1.0
BScHons,Bachelor of Science,bschons,manual,1.0
BSc (Hons),Bachelor of Science,bsc,manual,1.0
BSC,Bachelor of Science,bsc,manual,1.0
B.SC,Bachelor of Science,bsc,manual,1.0
BACHELOR OF SCIENCE,Bachelor of Science,bachelor of science,manual,1.0
Bachelor of Science,Bachelor of Science,bachelor of science,manual,1.0
BSC (Hons),Bachelor of Science,bsc,manual,1.0
Bachelor of Science Hons,Bachelor of Science,bachelor of science,manual,1.0
Bachelor of Science (Hons),Bachelor of Science,bachelor of science,manual,1.0
B. Sc,Bachelor of Science,b sc,manual,1.0
BSc Hons Hons,Bachelor of Science,bsc,manual,1.0
bsc,Bachelor of Science,bsc,manual,1.0
B.Sc (Hons),Bachelor of Science,bsc,manual,1.0
B.SC.,Bachelor of Science,bsc,manual,1.0
B  Sc,Bachelor of Science,b  sc,manual,1.0
B Sc ,Bachelor of Science,b sc,manual,1.0
BachelorofScience,Bachelor of Science,bachelorofscience,manual,1.0
B.Sc. Hons,Bachelor of Science,bsc,manual,1.0
BACHELOR OF COMPUTER APPLICATIONS,Bachelor of Computer Applications,bachelor of computer applications,manual,1.0
Bachelor of Computer Applications (Hons),Bachelor of Computer Applications,bachelor of computer applications,manual,1.0
Bachelor of Computer Applications Hons,Bachelor of Computer Applications,bachelor of computer applications,manual,1.0
B C A,Bachelor of Computer Applications,b c a,manual,1.0
BachelorofComputerApplications,Bachelor of Computer Applications,bachelorofcomputerapplications,manual,1.0
B.C.A.,Bachelor of Computer Applications,bca,manual,1.0
b c a,Bachelor of Computer Applications,b c a,manual,1.0
BCA Hons,Bachelor of Computer Applications,bca,manual,1.0
B C A ,Bachelor of Computer Applications,b c a,manual,1.0
Bachelor of Computer Applications,Bachelor of Computer Applications,bachelor of computer applications,manual,1.0
b.c.a.,Bachelor of Computer Applications,bca,manual,1.0
B.C.A. Hons,Bachelor of Computer Applications,bca,manual,1.0
BCA,Bachelor of Computer Applications,bca,manual,1.0
B C A (Hons),Bachelor of Computer Applications,b c a,manual,1.0
B C A Hons,Bachelor of Computer Applications,b c a,manual,1.0
BCA (Hons),Bachelor of Computer Applications,bca,manual,1.0
B.C.A. (Hons),Bachelor of Computer Applications,bca,manual,1.0
bca,Bachelor of Computer Applications,bca,manual,1.0
bachelor of computer applications,Bachelor of Computer Applications,bachelor of computer applications,manual,1.0
B.Com(Hons),Bachelor of Commerce,bcom(hons),manual,1.0
b. com,Bachelor of Commerce,b com,manual,1.0
B.Com (Hons) Hons,Bachelor of Commerce,bcom,manual,1.0
bachelor of commerce,Bachelor of Commerce,bachelor of commerce,manual,1.0
B.Com,Bachelor of Commerce,bcom,manual,1.0
bcom,Bachelor of Commerce,bcom,manual,1.0
BachelorofCommerce,Bachelor of Commerce,bachelorofcommerce,manual,1.0
B.Com (Hons) (Hons),Bachelor of Commerce,bcom,manual,1.0
B. Com,Bachelor of Commerce,b com,manual,1.0
Bachelor of Commerce (Hons),Bachelor of Commerce,bachelor of commerce,manual,1.0
BCom Hons,Bachelor of Commerce,bcom,manual,1.0
B.Com Hons,Bachelor of Commerce,bcom,manual,1.0
BACHELOR OF COMMERCE,Bachelor of Commerce,bachelor of commerce,manual,1.0
B.COM (HONS),Bachelor of Commerce,bcom,manual,1.0
Bachelor of Commerce,Bachelor of Commerce,bachelor of commerce,manual,1.0
B.Com (Hons),Bachelor of Commerce,bcom,manual,1.0
B Com (Hons),Bachelor of Commerce,b com,manual,1.0
BCom,Bachelor of Commerce,bcom,manual,1.0
b.com,Bachelor of Commerce,bcom,manual,1.0
B Com,Bachelor of Commerce,b com,manual,1.0
B.COM,Bachelor of Commerce,bcom,manual,1.0
BCom (Hons),Bachelor of Commerce,bcom,manual,1.0
B. Com (Hons),Bachelor of Commerce,b com,manual,1.0
Bachelor of Commerce Hons,Bachelor of Commerce,bachelor of commerce,manual,1.0
B. COM,Bachelor of Commerce,b com,manual,1.0
b.com (hons),Bachelor of Commerce,bcom,manual,1.0
B. Com Hons,Bachelor of Commerce,b com,manual,1.0
B  Com,Bachelor of Commerce,b  com,manual,1.0
BCOM,Bachelor of Commerce,bcom,manual,1.0
B B A ,Bachelor of Business Administration,b b a,manual,1.0
Bachelor of Business Administration (Hons),Bachelor of Business Administration,bachelor of business administration,manual,1.0
BBA Hons,Bachelor of Business Administration,bba,manual,1.0
b b a,Bachelor of Business Administration,b b a,manual,1.0
B B A,Bachelor of Business Administration,b b a,manual,1.0
Bachelor of Business Administration,Bachelor of Business Administration,bachelor of business administration,manual,1.0
Bachelor of Business Administration Hons,Bachelor of Business Administration,bachelor of business administration,manual,1.0
bachelor of business administration,Bachelor of Business Administration,bachelor of business administration,manual,1.0
B.B.A. (Hons),Bachelor of Business Administration,bba,manual,1.0
BACHELOR OF BUSINESS ADMINISTRATION,Bachelor of Business Administration,bachelor of business administration,manual,1.0
B.B.A.,Bachelor of Business Administration,bba,manual,1.0
BBA,Bachelor of Business Administration,bba,manual,1.0
BBA (Hons),Bachelor of Business Administration,bba,manual,1.0
B B A (Hons),Bachelor of Business Administration,b b a,manual,1.0
bba,Bachelor of Business Administration,bba,manual,1.0
BachelorofBusinessAdministration,Bachelor of Business Administration,bachelorofbusinessadministration,manual,1.0
b.b.a.,Bachelor of Business Administration,bba,manual,1.0
