expected_label,predicted_label,count,is_correct
Bachelor of Technology,Bachelor of Engineering,145,False
12th Standard,,114,False
Master of Technology,Master of Engineering,76,False
Bachelor of Arts,,71,False
Bachelor of Engineering,,71,False
10th Standard,,63,False
Bachelor of Technology,Master of Technology,55,False
Juris Doctor,,55,False
Master of Arts,,54,False
Master of Engineering,,53,False
10th Standard,Secondary (Class X),49,False
Master of Technology,Master of Science,49,False
Doctor of Philosophy,,48,False
Master of Science,,46,False
Associate of Applied Science,,45,False
Bachelor of Science,Bachelor of Business Administration,44,False
Master of Science,Master of Business Administration,44,False
Post Graduate Diploma,,42,False
12th Standard,Senior Secondary (Class XII),41,False
Bachelor of Technology,,39,False
Post Graduate Diploma,Master of Science,39,False
Bachelor of Computer Applications,,37,False
Bachelor of Science,,37,False
High School Diploma,Post Graduate Diploma,37,False
Bachelor of Technology,Bachelor of Science,36,False
Bachelor of Fine Arts,Bachelor of Arts,35,False
Bachelor of Engineering,Master of Engineering,34,False
Doctor of Education,,33,False
Associate of Arts,,32,False
Bachelor of Engineering,Master of Technology,32,False
Doctor of Nursing Practice,,32,False
Bachelor of Music,,31,False
Doctor of Medicine,,29,False
Associate of Science,,28,False
Doctor of Psychology,,28,False
Bachelor of Business Administration,,27,False
Master of Social Work,Master of Science,27,False
Bachelor of Science,Bachelor of Dental Surgery,26,False
Bachelor of Social Work,,26,False
Diploma in Engineering,Post Graduate Diploma,24,False
General Educational Development,,24,False
Bachelor of Commerce,,23,False
Bachelor of Social Work,Bachelor of Science,23,False
Associate of Science,Master of Science,22,False
Bachelor of Technology,Diploma in Engineering,22,False
Doctor of Dental Surgery,,21,False
Bachelor of Engineering,Diploma in Engineering,20,False
Bachelor of Music,Bachelor of Medicine and Bachelor of Surgery,20,False
Master of Arts,Master of Science,19,False
Master of Commerce,,19,False
Master of Public Health,,19,False
Bachelor of Business Administration,Bachelor of Engineering,18,False
Bachelor of Fine Arts,Bachelor of Science,18,False
Doctor of Dental Surgery,Bachelor of Dental Surgery,18,False
General Educational Development,Post Graduate Diploma,18,False
Master of Technology,,18,False
Master of Engineering,Master of Science,17,False
12th Standard,Bachelor of Science,16,False
High School Diploma,,16,False
Master of Business Administration,,16,False
Master of Business Administration,Bachelor of Arts,16,False
Master of Engineering,Bachelor of Engineering,16,False
Master of Science,Bachelor of Science,16,False
Bachelor of Music,Bachelor of Science,15,False
