expected_label,predicted_label,count,is_correct
Bachelor of Business Administration,Bachelor of Science,300,False
Master of Business Administration,Master of Science,300,False
Post Graduate Diploma,Diploma in Engineering,150,False
Bachelor of Computer Applications,Bachelor of Science,54,False
Master of Computer Applications,Master of Science,54,False
Bachelor of Computer Applications,Bachelor of Engineering,6,False
Master of Computer Applications,Bachelor of Engineering,6,False
Bachelor of Engineering,Master of Engineering,3,False
Master of Technology,Master of Engineering,2,False
Bachelor of Science,Bachelor of Arts,1,False
Bachelor of Science,Bachelor of Engineering,1,False
Bachelor of Science,Bachelor of Technology,1,False
Bachelor of Science,Enginering in Science,1,False
Bachelor of Science,Tecnolgy in Science,1,False
Bachelor of Science,Tecnology in Science,1,False
Bachelor of Technology,Bachelor of Engineering,1,False
Bachelor of Technology,Diploma in Engineering,1,False
Bachelor of Technology,Master of Engineering,1,False
Bachelor of Technology,Master of Technology,1,False
Master of Technology,Bachelor of Commerce,1,False
Master of Technology,Master Bacheler,1,False
Bachelor of Science,Bachelor of Science,455,True
Master of Science,Master of Science,454,True
Diploma in Engineering,Diploma in Engineering,426,True
Doctor of Philosophy,Doctor of Philosophy,391,True
Bachelor of Technology,Bachelor of Technology,183,True
Bachelor of Engineering,Bachelor of Engineering,169,True
Master of Technology,Master of Technology,152,True
Master of Engineering,Master of Engineering,151,True
Post Graduate Diploma,Post Graduate Diploma,92,True
Master of Business Administration,Master of Business Administration,69,True
Bachelor of Business Administration,Bachelor of Business Administration,68,True
12th Standard,12th Standard,37,True
10th Standard,10th Standard,31,True
Bachelor of Commerce,Bachelor of Commerce,29,True
Bachelor of Computer Applications,Bachelor of Computer Applications,28,True
Master of Computer Applications,Master of Computer Applications,28,True
Bachelor of Arts,Bachelor of Arts,25,True
Master of Commerce,Master of Commerce,23,True
Master of Arts,Master of Arts,20,True
