expected_label,predicted_label,count,is_correct
Master of Business Administration||Entrepreneurship,Master of Business Administration||__NONE__,5,False
Bachelor of Arts||Mass Communication,Bachelor of Arts||__NONE__,4,False
Bachelor of Business Administration||Entrepreneurship,Bachelor of Business Administration||__NONE__,4,False
Doctor of Philosophy||Food Technology,Doctor of Philosophy||__NONE__,4,False
Doctor of Philosophy||Mathematics,Doctor of Philosophy||__NONE__,4,False
Master of Arts||Hindi,Master of Arts||__NONE__,4,False
Master of Business Administration||Finance,Master of Business Administration||__NONE__,4,False
Master of Business Administration||Marketing,Master of Business Administration||__NONE__,4,False
Master of Commerce||Finance,Master of Commerce||__NONE__,4,False
Bachelor of Arts||Economics,Bachelor of Arts||__NONE__,3,False
Bachelor of Arts||Public Administration,Bachelor of Arts||__NONE__,3,False
Bachelor of Business Administration||Business Administration,Bachelor of Business Administration||__NONE__,3,False
Bachelor of Business Administration||Human Resources Management,Bachelor of Business Administration||__NONE__,3,False
Bachelor of Commerce||Finance,Bachelor of Commerce||__NONE__,3,False
Bachelor of Computer Applications||Computer Applications,Bachelor of Computer Applications||__NONE__,3,False
Bachelor of Science||Computer Science and Engineering,Bachelor of Science||__NONE__,3,False
Bachelor of Science||Environmental Science,Bachelor of Science||__NONE__,3,False
Bachelor of Science||Geology,Bachelor of Science||__NONE__,3,False
Bachelor of Science||Mathematics,Bachelor of Science||__NONE__,3,False
Bachelor of Technology||Food Technology,Bachelor of Technology||__NONE__,3,False
Doctor of Philosophy||Aerospace Engineering,Doctor of Philosophy||__NONE__,3,False
Doctor of Philosophy||Chemistry,Doctor of Philosophy||__NONE__,3,False
Doctor of Philosophy||Computer Applications,Doctor of Philosophy||__NONE__,3,False
Doctor of Philosophy||Computer Science (Applications),Doctor of Philosophy||__NONE__,3,False
Doctor of Philosophy||Data Science,Doctor of Philosophy||__NONE__,3,False
Doctor of Philosophy||Design,Doctor of Philosophy||__NONE__,3,False
Doctor of Philosophy||Environmental Engineering,Doctor of Philosophy||__NONE__,3,False
Doctor of Philosophy||Environmental Science,Doctor of Philosophy||__NONE__,3,False
Doctor of Philosophy||Finance,Doctor of Philosophy||__NONE__,3,False
Doctor of Philosophy||Information Technology,Doctor of Philosophy||__NONE__,3,False
Master of Arts||Economics,Master of Arts||__NONE__,3,False
Master of Arts||Mass Communication,Master of Arts||__NONE__,3,False
Master of Arts||Public Administration,Master of Arts||__NONE__,3,False
Master of Business Administration||Banking and Finance,Master of Business Administration||__NONE__,3,False
Master of Commerce||Accounting,Master of Commerce||__NONE__,3,False
Master of Science||Computer Science and Engineering,Master of Science||__NONE__,3,False
Master of Science||Environmental Science,Master of Science||__NONE__,3,False
Master of Technology||Computer Science and Engineering,Master of Technology||__NONE__,3,False
Bachelor of Arts||English,Bachelor of Arts||__NONE__,2,False
Bachelor of Arts||Geography,Bachelor of Arts||__NONE__,2,False
Bachelor of Arts||Hindi,Bachelor of Arts||__NONE__,2,False
Bachelor of Arts||History,Bachelor of Arts||__NONE__,2,False
Bachelor of Arts||Philosophy,Bachelor of Arts||__NONE__,2,False
Bachelor of Arts||Public Administration,__NONE__||__NONE__,2,False
Bachelor of Arts||Sociology,Bachelor of Arts||__NONE__,2,False
Bachelor of Arts||Sociology,__NONE__||Sociology,2,False
Bachelor of Business Administration||International Business,Bachelor of Business Administration||__NONE__,2,False
Bachelor of Business Administration||Marketing,Bachelor of Business Administration||__NONE__,2,False
Bachelor of Commerce||Accounting,Bachelor of Commerce||__NONE__,2,False
Bachelor of Commerce||Banking and Finance,__NONE__||__NONE__,2,False
Bachelor of Commerce||Commerce,__NONE__||__NONE__,2,False
Bachelor of Engineering||Civil Engineering,Bachelor of Engineering||__NONE__,2,False
Bachelor of Engineering||Mechanical Engineering,Bachelor of Engineering||__NONE__,2,False
Bachelor of Science||Bioinformatics,Bachelor of Science||__NONE__,2,False
Bachelor of Science||Botany,Bachelor of Science||__NONE__,2,False
Bachelor of Science||Statistics,__NONE__||__NONE__,2,False
Bachelor of Technology||Aerospace Engineering,Bachelor of Engineering||__NONE__,2,False
Bachelor of Technology||Aerospace Engineering,Bachelor of Science||__NONE__,2,False
Bachelor of Technology||Biotechnology Engineering,Bachelor of Engineering||__NONE__,2,False
Bachelor of Technology||Chemical Engineering,Bachelor of Engineering||__NONE__,2,False
Bachelor of Technology||Civil Engineering,Bachelor of Science||__NONE__,2,False
Bachelor of Technology||Data Science,Bachelor of Technology||__NONE__,2,False
Bachelor of Technology||Electrical Engineering,Bachelor of Technology||__NONE__,2,False
Bachelor of Technology||Electronics and Communication Engineering,Bachelor of Engineering||Electronics and Communication Engineering,2,False
Bachelor of Technology||Environmental Engineering,Bachelor of Science||__NONE__,2,False
Bachelor of Technology||Metallurgical Engineering,Bachelor of Technology||__NONE__,2,False
Doctor of Philosophy||Banking and Finance,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Biology,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Botany,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Business Administration,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Computer Science and Engineering,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Economics,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||English,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Entrepreneurship,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Geology,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Hotel Management,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||International Business,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Marketing,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Mining Engineering,__NONE__||__NONE__,2,False
Doctor of Philosophy||Political Science,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Production Engineering,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Psychology,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Public Administration,Doctor of Philosophy||__NONE__,2,False
Doctor of Philosophy||Statistics,Doctor of Philosophy||__NONE__,2,False
Master of Arts||English,Master of Arts||__NONE__,2,False
Master of Arts||Geography,Master of Arts||__NONE__,2,False
Master of Arts||History,Master of Arts||__NONE__,2,False
Master of Arts||Psychology,Master of Arts||__NONE__,2,False
Master of Arts||Sociology,Master of Arts||__NONE__,2,False
Master of Arts||Sociology,__NONE__||__NONE__,2,False
Master of Business Administration||Business Administration,Master of Business Administration||__NONE__,2,False
Master of Business Administration||Human Resources Management,Bachelor of Engineering||__NONE__,2,False
Master of Business Administration||Human Resources Management,Master of Business Administration||__NONE__,2,False
Master of Business Administration||International Business,Bachelor of Engineering||__NONE__,2,False
Master of Business Administration||International Business,Master of Business Administration||__NONE__,2,False
Master of Business Administration||Operations Management,Master of Business Administration||__NONE__,2,False
Master of Commerce||Banking and Finance,Master of Commerce||__NONE__,2,False
Master of Commerce||Commerce,Master of Commerce||__NONE__,2,False
Master of Engineering||Computer Science and Engineering,Master of Engineering||Information Technology,2,False
Master of Engineering||Electrical Engineering,Master of Engineering||__NONE__,2,False
Master of Engineering||Mechanical Engineering,Master of Engineering||__NONE__,2,False
Master of Science||Bioinformatics,Master of Science||__NONE__,2,False
Master of Science||Chemistry,Master of Science||__NONE__,2,False
Master of Science||Data Science,Master of Science||__NONE__,2,False
Master of Science||Physics,Master of Science||__NONE__,2,False
Master of Technology||Civil Engineering,Master of Science||__NONE__,2,False
Master of Technology||Data Science,Master of Science||__NONE__,2,False
Bachelor of Arts||Economics,__NONE__||Economics,1,False
Bachelor of Arts||English,__NONE__||__NONE__,1,False
Bachelor of Arts||Geography,__NONE__||__NONE__,1,False
Bachelor of Arts||Hindi,BachelorofArts||Hindi,1,False
Bachelor of Arts||Hindi,__NONE__||Hindi,1,False
Bachelor of Arts||History,Bachelor of Science||History,1,False
Bachelor of Arts||Mass Communication,__NONE__||__NONE__,1,False
Bachelor of Arts||Philosophy,Bachelor of Science||Philosophy,1,False
Bachelor of Arts||Philosophy,__NONE__||__NONE__,1,False
Bachelor of Arts||Philosophy,with specialization||Philosophy,1,False
Bachelor of Arts||Political Science,Bachelor of Arts||__NONE__,1,False
Bachelor of Arts||Political Science,__NONE__||__NONE__,1,False
Bachelor of Arts||Political Science,bachelor of arts||__NONE__,1,False
Bachelor of Arts||Psychology,Bachelor of Arts||__NONE__,1,False
Bachelor of Arts||Psychology,__NONE__||__NONE__,1,False
Bachelor of Arts||Psychology,with specialization||__NONE__,1,False
Bachelor of Arts||Sociology,bachelor of arts||__NONE__,1,False
Bachelor of Business Administration||Business Administration,Bachelor of Engineering||__NONE__,1,False
Bachelor of Business Administration||Business Administration,__NONE__||__NONE__,1,False
Bachelor of Business Administration||Entrepreneurship,__NONE__||Entrepreneurship,1,False
Bachelor of Business Administration||Finance,Bachelor of Business Administration||__NONE__,1,False
Bachelor of Business Administration||Finance,Bachelor of Engineering||Finance,1,False
Bachelor of Business Administration||Finance,Bachelor of Engineering||__NONE__,1,False
Bachelor of Business Administration||Finance,__NONE__||Finance,1,False
Bachelor of Business Administration||Finance,__NONE__||__NONE__,1,False
Bachelor of Business Administration||Human Resources Management,Bachelor of Engineering||Human Resources Management,1,False
Bachelor of Business Administration||Human Resources Management,with specialization||__NONE__,1,False
Bachelor of Business Administration||International Business,Bachelor of Engineering||International Business,1,False
Bachelor of Business Administration||International Business,Bachelor of Engineering||__NONE__,1,False
Bachelor of Business Administration||International Business,__NONE__||__NONE__,1,False
Bachelor of Business Administration||Marketing,Bachelor of Engineering||__NONE__,1,False
Bachelor of Business Administration||Marketing,__NONE__||Marketing,1,False
Bachelor of Commerce||Accounting,__NONE__||__NONE__,1,False
Bachelor of Commerce||Banking and Finance,Bachelor of Commerce||__NONE__,1,False
Bachelor of Commerce||Banking and Finance,__NONE__||Banking and Finance,1,False
Bachelor of Commerce||Banking and Finance,with specialization||Banking and Finance,1,False
Bachelor of Commerce||Commerce,Bachelor of Commerce||__NONE__,1,False
Bachelor of Commerce||Commerce,Hons||__NONE__,1,False
Bachelor of Commerce||Finance,__NONE__||__NONE__,1,False
Bachelor of Commerce||Finance,with specialization||Finance,1,False
Bachelor of Computer Applications||Computer Applications,__NONE__||Computer Applications,1,False
Bachelor of Computer Applications||Computer Applications,__NONE__||__NONE__,1,False
Bachelor of Computer Applications||Computer Applications,with specialization||Computer Applications,1,False
Bachelor of Engineering||Aerospace Engineering,__NONE__||Aerospace Engineering,1,False
Bachelor of Engineering||Biotechnology Engineering,Bachelor of Engineering||__NONE__,1,False
Bachelor of Engineering||Biotechnology Engineering,__NONE__||__NONE__,1,False
Bachelor of Engineering||Chemical Engineering,Bacheler of Engineering Hons||__NONE__,1,False
Bachelor of Engineering||Chemical Engineering,Bachelor of Engineering||__NONE__,1,False
Bachelor of Engineering||Chemical Engineering,Bachelor of Science||__NONE__,1,False
Bachelor of Engineering||Chemical Engineering,Master of Technology||__NONE__,1,False
Bachelor of Engineering||Chemical Engineering,__NONE__||__NONE__,1,False
Bachelor of Engineering||Civil Engineering,Tecnolgy of Engineering||__NONE__,1,False
Bachelor of Engineering||Civil Engineering,__NONE__||Civil Engineering,1,False
Bachelor of Engineering||Computer Science and Engineering,Bachelor of Engineering||__NONE__,1,False
Bachelor of Engineering||Computer Science and Engineering,Bachelor of Science||__NONE__,1,False
Bachelor of Engineering||Computer Science and Engineering,Master of Engineering||__NONE__,1,False
Bachelor of Engineering||Electrical Engineering,Bachelor of Science||Electrical Engineering,1,False
Bachelor of Engineering||Electrical Engineering,Diploma in Engineering||__NONE__,1,False
Bachelor of Engineering||Electrical Engineering,with specialization||__NONE__,1,False
Bachelor of Engineering||Electronics and Communication Engineering,BACHELER OF ENGINEERING||__NONE__,1,False
Bachelor of Engineering||Electronics and Communication Engineering,Bachelor of Engineering||__NONE__,1,False
Bachelor of Engineering||Electronics and Communication Engineering,__NONE__||Electronics and Communication Engineering,1,False
Bachelor of Engineering||Information Technology,Bachelor of Science||Information Technology,1,False
Bachelor of Engineering||Information Technology,Bachelor of Science||__NONE__,1,False
Bachelor of Engineering||Information Technology,Master of Engineering||__NONE__,1,False
Bachelor of Engineering||Information Technology,bachelor of engineering||__NONE__,1,False
Bachelor of Engineering||Instrumentation Engineering,Bacheler of Engineering||__NONE__,1,False
Bachelor of Engineering||Instrumentation Engineering,Bachelor of Engineering||Production Engineering,1,False
Bachelor of Engineering||Instrumentation Engineering,Bachelor of Engineering||__NONE__,1,False
Bachelor of Engineering||Instrumentation Engineering,Master of Science||Instrumentation Engineering,1,False
Bachelor of Engineering||Mechanical Engineering,Bachelor of Engineering Hons||Mechanical Engineering,1,False
Bachelor of Engineering||Production Engineering,Bachelor of Engineering||__NONE__,1,False
Bachelor of Engineering||Production Engineering,Master of Science||__NONE__,1,False
Bachelor of Engineering||Production Engineering,__NONE__||__NONE__,1,False
