degree_canonical,field_canonical,degree_alias_count,field_alias_count,example_resume_strings
Bachelor of Technology,Computer Science and Engineering,64,15,BTech Hons in CSE | Bacheler of Technology Hons in C.S.E
Bachelor of Technology,Information Technology,64,10,BTech Hons in IT | Bacheler of Technology Hons in I.T
Bachelor of Technology,Electronics and Communication Engineering,64,8,BTech Hons in ECE | Bacheler of Technology Hons in E.C.E
Bachelor of Technology,Electrical Engineering,64,9,BTech Hons in EE | Bacheler of Technology Hons in E.E
Bachelor of Technology,Mechanical Engineering,64,8,BTech Hons in ME | Bacheler of Technology Hons in M.E
Bachelor of Technology,Civil Engineering,64,6,BTech Hons in CE | Bacheler of Technology Hons in C.E
Bachelor of Technology,Chemical Engineering,64,5,BTech Hons in Chem Engg | Bacheler of Technology Hons in Chemical Engg
Bachelor of Technology,Aerospace Engineering,64,6,BTech Hons in Aero | Bacheler of Technology Hons in Aerospace
Bachelor of Technology,Biotechnology Engineering,64,6,BTech Hons in Biotech | Bacheler of Technology Hons in Biotechnology
Bachelor of Technology,Artificial Intelligence and Machine Learning,64,9,BTech Hons in AI | Bacheler of Technology Hons in ML
Bachelor of Technology,Data Science,64,6,BTech Hons in Data Science | Bacheler of Technology Hons in DS
Bachelor of Technology,Cybersecurity,64,5,BTech Hons in Cybersecurity | Bacheler of Technology Hons in Cyber Security
Bachelor of Technology,Software Engineering,64,6,BTech Hons in Software Engg | Bacheler of Technology Hons in Software Engineering
Bachelor of Technology,Instrumentation Engineering,64,5,BTech Hons in Instrumentation | Bacheler of Technology Hons in Instrumentation Engg
Bachelor of Technology,Production Engineering,64,6,BTech Hons in Production | Bacheler of Technology Hons in Production Engg
Bachelor of Technology,Metallurgical Engineering,64,5,BTech Hons in Metallurgy | Bacheler of Technology Hons in Metallurgical Engg
Bachelor of Technology,Environmental Engineering,64,4,BTech Hons in Environmental Engg | Bacheler of Technology Hons in Environmental Engineering
Bachelor of Technology,Textile Engineering,64,4,BTech Hons in Textile | Bacheler of Technology Hons in Textile Engg
Bachelor of Technology,Food Technology,64,4,BTech Hons in Food Tech | Bacheler of Technology Hons in Food Technology
Bachelor of Engineering,Computer Science and Engineering,49,15,BachelorofEngineering in CSE | B.E. in C.S.E
Bachelor of Engineering,Information Technology,49,10,BachelorofEngineering in IT | B.E. in I.T
Bachelor of Engineering,Electronics and Communication Engineering,49,8,BachelorofEngineering in ECE | B.E. in E.C.E
Bachelor of Engineering,Electrical Engineering,49,9,BachelorofEngineering in EE | B.E. in E.E
Bachelor of Engineering,Mechanical Engineering,49,8,BachelorofEngineering in ME | B.E. in M.E
Bachelor of Engineering,Civil Engineering,49,6,BachelorofEngineering in CE | B.E. in C.E
Bachelor of Engineering,Chemical Engineering,49,5,BachelorofEngineering in Chem Engg | B.E. in Chemical Engg
Bachelor of Engineering,Aerospace Engineering,49,6,BachelorofEngineering in Aero | B.E. in Aerospace
Bachelor of Engineering,Biotechnology Engineering,49,6,BachelorofEngineering in Biotech | B.E. in Biotechnology
Bachelor of Engineering,Instrumentation Engineering,49,5,BachelorofEngineering in Instrumentation | B.E. in Instrumentation Engg
Bachelor of Engineering,Production Engineering,49,6,BachelorofEngineering in Production | B.E. in Production Engg
Bachelor of Science,Physics,42,4,Bachelor of Science Hons in Physics | b. sc in Phy
Bachelor of Science,Chemistry,42,4,Bachelor of Science Hons in Chemistry | b. sc in Chem
Bachelor of Science,Mathematics,42,6,Bachelor of Science Hons in Mathematics | b. sc in Maths
Bachelor of Science,Statistics,42,4,Bachelor of Science Hons in Statistics | b. sc in Stats
Bachelor of Science,Biology,42,4,Bachelor of Science Hons in Biology | b. sc in Bio
Bachelor of Science,Microbiology,42,3,Bachelor of Science Hons in Microbiology | b. sc in Micro Bio
Bachelor of Science,Biochemistry,42,3,Bachelor of Science Hons in Biochemistry | b. sc in Bio Chemistry
Bachelor of Science,Bioinformatics,42,3,Bachelor of Science Hons in Bioinformatics | b. sc in Bio Informatics
Bachelor of Science,Zoology,42,2,Bachelor of Science Hons in Zoology | b. sc in Zoo
Bachelor of Science,Botany,42,2,Bachelor of Science Hons in Botany | b. sc in Plant Science
Bachelor of Science,Geology,42,2,Bachelor of Science Hons in Geology | b. sc in Earth Science
Bachelor of Science,Environmental Science,42,3,Bachelor of Science Hons in Environmental Science | b. sc in Env Science
Bachelor of Science,Computer Science and Engineering,42,15,Bachelor of Science Hons in CSE | b. sc in C.S.E
Bachelor of Science,Information Technology,42,10,Bachelor of Science Hons in IT | b. sc in I.T
Bachelor of Science,Nursing,42,2,Bachelor of Science Hons in Nursing | b. sc in BSc Nursing
Bachelor of Science,Agriculture,42,4,Bachelor of Science Hons in Agriculture | b. sc in Agricultural Science
Bachelor of Computer Applications,Computer Applications,19,4,Bachelor of Computer Applications (Hons) in Computer Applications | B C A (Hons) in Comp Applications
Bachelor of Commerce,Commerce,29,2,B.Com (Hons) in Commerce | b.com in Business Studies
Bachelor of Commerce,Accounting,29,5,B.Com (Hons) in Accounting | b.com in Accountancy
Bachelor of Commerce,Finance,29,4,B.Com (Hons) in Finance | b.com in Financial Management
Bachelor of Commerce,Banking and Finance,29,4,B.Com (Hons) in Banking & Finance | b.com in Banking and Finance
Bachelor of Business Administration,Business Administration,19,5,bba in Business Administration | B.B.A. in Business Admin
Bachelor of Business Administration,Finance,19,4,bba in Finance | B.B.A. in Financial Management
Bachelor of Business Administration,Marketing,19,4,bba in Marketing | B.B.A. in Marketing Management
Bachelor of Business Administration,Human Resources Management,19,6,bba in Human Resources | B.B.A. in HR
Bachelor of Business Administration,International Business,19,4,bba in International Business | B.B.A. in IB
Bachelor of Business Administration,Entrepreneurship,19,3,bba in Entrepreneurship | B.B.A. in Startup Management
Bachelor of Arts,Economics,26,4,bachelor of arts in Economics | BA in Eco
Bachelor of Arts,Psychology,26,5,bachelor of arts in Psychology | BA in Psych
Bachelor of Arts,Sociology,26,2,bachelor of arts in Sociology | BA in Social Work
Bachelor of Arts,Political Science,26,3,bachelor of arts in Political Science | BA in Pol Science
Bachelor of Arts,History,26,1,bachelor of arts in History | BA in History
Bachelor of Arts,Geography,26,2,bachelor of arts in Geography | BA in Geo
Bachelor of Arts,English,26,4,bachelor of arts in English | BA in English Literature
Bachelor of Arts,Hindi,26,2,bachelor of arts in Hindi | BA in Hindi Literature
Bachelor of Arts,Philosophy,26,2,bachelor of arts in Philosophy | BA in Phil
Bachelor of Arts,Public Administration,26,3,bachelor of arts in Public Administration | BA in Public Admin
Bachelor of Arts,Mass Communication,26,7,bachelor of arts in Mass Communication | BA in Mass Comm
Master of Technology,Computer Science and Engineering,31,15,MTECH (Hons) in CSE | M. Tech in C.S.E
Master of Technology,Information Technology,31,10,MTECH (Hons) in IT | M. Tech in I.T
Master of Technology,Electronics and Communication Engineering,31,8,MTECH (Hons) in ECE | M. Tech in E.C.E
