sample_id,dataset_id,included_systems,raw_input,normalized_input,canonical_degree,canonical_country_system,country_code,region,qualification_level,degree_family,short_code,duration_hint,local_level,variant_alias_kind,variant_prefix_kind,variant_suffix_kind,variant_case_kind,expected_status,expected_layer,is_degree_only,source_note,is_ambiguous_across_systems,is_ambiguous_across_degrees,duplicate_normalized_count
IND_USA-000001,IND_USA,India + United States,10th Standard,10th standard,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000002,IND_USA,India + United States,10th Standard qualification,10th standard qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000003,IND_USA,India + United States,10th Standard (India),10th standard india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000004,IND_USA,India + United States,10th Standard (IN),10th standard in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000005,IND_USA,India + United States,10th Standard (school qualification),10th standard school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000006,IND_USA,India + United States,Indian 10th Standard,indian 10th standard,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000007,IND_USA,India + United States,Indian 10th Standard qualification,indian 10th standard qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000008,IND_USA,India + United States,Indian 10th Standard (India),indian 10th standard india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000009,IND_USA,India + United States,Indian 10th Standard (IN),indian 10th standard in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000010,IND_USA,India + United States,Indian 10th Standard (school qualification),indian 10th standard school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000011,IND_USA,India + United States,India 10th Standard,india 10th standard,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000012,IND_USA,India + United States,India 10th Standard qualification,india 10th standard qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000013,IND_USA,India + United States,India 10th Standard (India),india 10th standard india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000014,IND_USA,India + United States,India 10th Standard (IN),india 10th standard in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000015,IND_USA,India + United States,India 10th Standard (school qualification),india 10th standard school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000016,IND_USA,India + United States,IN 10th Standard,in 10th standard,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000017,IND_USA,India + United States,IN 10th Standard qualification,in 10th standard qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000018,IND_USA,India + United States,IN 10th Standard (India),in 10th standard india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000019,IND_USA,India + United States,IN 10th Standard (IN),in 10th standard in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000020,IND_USA,India + United States,IN 10th Standard (school qualification),in 10th standard school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000021,IND_USA,India + United States,10TH,10th,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
