source_file,raw_input,canonical_degree_options,sample_id_example,note
layer1_exact_lookup_training.csv,4-Year B.Tech (Aerospace Engineering),Bachelor of Engineering|Bachelor of Technology,L1-01376,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Artificial Intelligence and Machine Learning),Bachelor of Engineering|Bachelor of Technology,L1-01348,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Biotechnology Engineering),Bachelor of Engineering|Bachelor of Technology,L1-01532,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Business Administration),Bachelor of Engineering|Bachelor of Technology,L1-00865,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Chemical Engineering),Bachelor of Engineering|Bachelor of Technology,L1-00598,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Chemistry),Bachelor of Engineering|Bachelor of Technology,L1-00739,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Civil Engineering),Bachelor of Engineering|Bachelor of Technology,L1-01641,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Computer Science and Engineering),Bachelor of Engineering|Bachelor of Technology,L1-01351,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Cybersecurity),Bachelor of Engineering|Bachelor of Technology,L1-01693,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Data Science),Bachelor of Engineering|Bachelor of Technology,L1-01008,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Electrical Engineering),Bachelor of Engineering|Bachelor of Technology,L1-01830,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Electronics and Communication Engineering),Bachelor of Engineering|Bachelor of Technology,L1-01456,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Environmental Engineering),Bachelor of Engineering|Bachelor of Technology,L1-01550,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Finance),Bachelor of Engineering|Bachelor of Technology,L1-01022,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Food Technology),Bachelor of Engineering|Bachelor of Technology,L1-00583,Exclude from F1 scoring until the business rule is decided.
layer1_exact_lookup_training.csv,4-Year B.Tech (Information Technology),Bachelor of Engineering|Bachelor of Technology,L1-01132,Exclude from F1 scoring until the business rule is decided.
