expected_label,predicted_label,count,is_correct
Foundation Degree,,211,False
12th Standard,,185,False
Bachelor of Engineering,,152,False
Bachelor of Technology,Bachelor of Engineering,145,False
Bachelor of Medicine Bachelor of Surgery,Bachelor of Medicine and Bachelor of Surgery,126,False
Bachelor of Medicine Bachelor of Surgery,,114,False
Advanced Level,,105,False
10th Standard,,103,False
Master of Technology,Master of Science,97,False
Post Graduate Diploma,Master of Science,90,False
Bachelor of Arts,,89,False
Master of Engineering,,89,False
Doctor of Philosophy,,86,False
Post Graduate Diploma,,86,False
Master of Science,,85,False
Master of Technology,Master of Engineering,76,False
Bachelor of Business Administration,,66,False
Bachelor of Commerce,,62,False
Bachelor of Technology,,62,False
Bachelor of Computer Applications,,61,False
Bachelor of Science,,61,False
General Certificate of Secondary Education,,60,False
Master of Arts,,57,False
Bachelor of Technology,Master of Technology,55,False
Doctor of Education,,54,False
10th Standard,Secondary (Class X),49,False
Master of Commerce,,45,False
Bachelor of Science,Bachelor of Business Administration,44,False
Master of Science,Master of Business Administration,44,False
Bachelor of Technology,Bachelor of Science,42,False
12th Standard,Senior Secondary (Class XII),41,False
Diploma of Higher Education,,41,False
Master of Business Administration,,37,False
Postgraduate Certificate,Master of Science,36,False
Master of Engineering,Master of Science,35,False
Bachelor of Engineering,Master of Engineering,34,False
Master of Technology,,34,False
Postgraduate Diploma,Post Graduate Diploma,33,False
Bachelor of Engineering,Master of Technology,32,False
Master of Business Administration,Master of Science,32,False
Master of Philosophy,,32,False
Master of Research,,32,False
Certificate of Higher Education,,30,False
Higher National Certificate,,30,False
Higher National Diploma,,30,False
Master of Computer Applications,,28,False
Diploma in Engineering,Post Graduate Diploma,27,False
Bachelor of Laws,Bachelor of Science,26,False
Doctor of Business Administration,,24,False
Bachelor of Technology,Diploma in Engineering,22,False
Bachelor of Laws,,21,False
Bachelor of Engineering,Diploma in Engineering,20,False
Master of Engineering,Bachelor of Engineering,18,False
Master of Philosophy,Doctor of Philosophy,18,False
Master of Research,Master of Science,18,False
Postgraduate Certificate,Post Graduate Diploma,18,False
Bachelor of Arts,Bachelor of Science,17,False
12th Standard,Bachelor of Science,16,False
Diploma in Engineering,,16,False
Master of Business Administration,Bachelor of Arts,16,False
Master of Laws,,16,False
Master of Science,Bachelor of Science,16,False
Certificate of Higher Education,Certificate Program,15,False
Diploma of Higher Education,Post Graduate Diploma,15,False
General Certificate of Secondary Education,Certificate Program,15,False
Higher National Certificate,Certificate Program,15,False
Higher National Diploma,Post Graduate Diploma,15,False
Postgraduate Diploma,,15,False
Postgraduate Diploma,Master of Science,15,False
Bachelor of Engineering,Bachelor of Technology,14,False
Bachelor of Science,Bachelor of Dental Surgery,14,False
Post Graduate Diploma,Post Graduate Diploma in Business Administration,14,False
Bachelor of Technology,Master of Engineering,12,False
Master of Arts,Master of Science,12,False
Master of Business Administration,Bachelor of Engineering,12,False
Bachelor of Business Administration,Bachelor of Arts,10,False
Bachelor of Commerce,Bachelor of Medicine and Bachelor of Surgery,10,False
Bachelor of Computer Applications,Bachelor of Arts,10,False
Bachelor of Laws,Bachelor of Dental Surgery,10,False
Bachelor of Laws,Bachelor of Technology,10,False
Doctor of Business Administration,Bachelor of Engineering,10,False
Master of Laws,Master of Arts,10,False
10th Standard,Bachelor of Engineering,8,False
10th Standard,Bachelor of Science,8,False
Doctor of Business Administration,Master of Business Administration,8,False
Master of Arts,Bachelor of Arts,8,False
Master of Commerce,Bachelor of Commerce,8,False
Master of Computer Applications,Bachelor of Arts,8,False
Master of Laws,Master of Science,8,False
Master of Science,Bachelor of Medicine and Bachelor of Surgery,8,False
Master of Technology,Bachelor of Commerce,8,False
Master of Technology,Bachelor of Technology,8,False
Post Graduate Diploma,Bachelor of Arts,8,False
Post Graduate Diploma,Bachelor of Medicine and Bachelor of Surgery,8,False
Master of Science,Master of Engineering,7,False
Bachelor of Business Administration,Bachelor of Engineering,6,False
Bachelor of Arts,Bachelor of Computer Applications,5,False
Bachelor of Science,Bachelor of Engineering,5,False
Foundation Degree,Bachelor of Dental Surgery,5,False
Master of Business Administration,Master of Engineering,5,False
10th Standard,12th Standard,4,False
Diploma of Higher Education,Diploma in Engineering,4,False
