expected_label,predicted_label,count,is_correct
Foundation Degree||__NONE__,__NONE__||__NONE__,211,False
12th Standard||__NONE__,__NONE__||__NONE__,185,False
Bachelor of Engineering||__NONE__,__NONE__||__NONE__,152,False
Bachelor of Technology||__NONE__,Bachelor of Engineering||__NONE__,145,False
Bachelor of Medicine Bachelor of Surgery||__NONE__,Bachelor of Medicine and Bachelor of Surgery||__NONE__,126,False
Bachelor of Medicine Bachelor of Surgery||__NONE__,__NONE__||__NONE__,114,False
Advanced Level||__NONE__,__NONE__||__NONE__,105,False
10th Standard||__NONE__,__NONE__||__NONE__,103,False
Master of Technology||__NONE__,Master of Science||__NONE__,97,False
Post Graduate Diploma||__NONE__,Master of Science||__NONE__,90,False
Bachelor of Arts||__NONE__,__NONE__||__NONE__,89,False
Master of Engineering||__NONE__,__NONE__||__NONE__,89,False
Doctor of Philosophy||__NONE__,__NONE__||__NONE__,86,False
Post Graduate Diploma||__NONE__,__NONE__||__NONE__,86,False
Master of Science||__NONE__,__NONE__||__NONE__,85,False
Master of Technology||__NONE__,Master of Engineering||__NONE__,76,False
Bachelor of Business Administration||__NONE__,__NONE__||__NONE__,66,False
Bachelor of Commerce||__NONE__,__NONE__||__NONE__,62,False
Bachelor of Technology||__NONE__,__NONE__||__NONE__,62,False
Bachelor of Computer Applications||__NONE__,__NONE__||__NONE__,61,False
Bachelor of Science||__NONE__,__NONE__||__NONE__,61,False
General Certificate of Secondary Education||__NONE__,__NONE__||__NONE__,60,False
Master of Arts||__NONE__,__NONE__||__NONE__,57,False
Bachelor of Technology||__NONE__,Master of Technology||__NONE__,55,False
Doctor of Education||__NONE__,__NONE__||__NONE__,54,False
10th Standard||__NONE__,Secondary (Class X)||__NONE__,49,False
Master of Commerce||__NONE__,__NONE__||__NONE__,45,False
Bachelor of Science||__NONE__,Bachelor of Business Administration||__NONE__,44,False
Master of Science||__NONE__,Master of Business Administration||__NONE__,44,False
Bachelor of Technology||__NONE__,Bachelor of Science||__NONE__,42,False
12th Standard||__NONE__,Senior Secondary (Class XII)||__NONE__,41,False
Diploma of Higher Education||__NONE__,__NONE__||__NONE__,41,False
Master of Business Administration||__NONE__,__NONE__||__NONE__,37,False
Postgraduate Certificate||__NONE__,Master of Science||__NONE__,36,False
Master of Engineering||__NONE__,Master of Science||__NONE__,35,False
Bachelor of Engineering||__NONE__,Master of Engineering||__NONE__,34,False
Master of Technology||__NONE__,__NONE__||__NONE__,34,False
Postgraduate Diploma||__NONE__,Post Graduate Diploma||__NONE__,33,False
Bachelor of Engineering||__NONE__,Master of Technology||__NONE__,32,False
Master of Business Administration||__NONE__,Master of Science||__NONE__,32,False
Master of Philosophy||__NONE__,__NONE__||__NONE__,32,False
Master of Research||__NONE__,__NONE__||__NONE__,32,False
Certificate of Higher Education||__NONE__,__NONE__||__NONE__,30,False
Higher National Certificate||__NONE__,__NONE__||__NONE__,30,False
Higher National Diploma||__NONE__,__NONE__||__NONE__,30,False
Master of Computer Applications||__NONE__,__NONE__||__NONE__,28,False
Diploma in Engineering||__NONE__,Post Graduate Diploma||__NONE__,27,False
Bachelor of Laws||__NONE__,Bachelor of Science||__NONE__,26,False
Doctor of Business Administration||__NONE__,__NONE__||__NONE__,24,False
Bachelor of Technology||__NONE__,Diploma in Engineering||__NONE__,22,False
Bachelor of Laws||__NONE__,__NONE__||__NONE__,21,False
Bachelor of Engineering||__NONE__,Diploma in Engineering||__NONE__,20,False
Master of Engineering||__NONE__,Bachelor of Engineering||__NONE__,18,False
Master of Philosophy||__NONE__,Doctor of Philosophy||__NONE__,18,False
Master of Research||__NONE__,Master of Science||__NONE__,18,False
Postgraduate Certificate||__NONE__,Post Graduate Diploma||__NONE__,18,False
Bachelor of Arts||__NONE__,Bachelor of Science||__NONE__,17,False
12th Standard||__NONE__,Bachelor of Science||__NONE__,16,False
Diploma in Engineering||__NONE__,__NONE__||__NONE__,16,False
Master of Business Administration||__NONE__,Bachelor of Arts||__NONE__,16,False
Master of Laws||__NONE__,__NONE__||__NONE__,16,False
Master of Science||__NONE__,Bachelor of Science||__NONE__,16,False
Certificate of Higher Education||__NONE__,Certificate Program||__NONE__,15,False
Diploma of Higher Education||__NONE__,Post Graduate Diploma||__NONE__,15,False
General Certificate of Secondary Education||__NONE__,Certificate Program||__NONE__,15,False
Higher National Certificate||__NONE__,Certificate Program||__NONE__,15,False
Higher National Diploma||__NONE__,Post Graduate Diploma||__NONE__,15,False
Postgraduate Diploma||__NONE__,Master of Science||__NONE__,15,False
Postgraduate Diploma||__NONE__,__NONE__||__NONE__,15,False
Bachelor of Engineering||__NONE__,Bachelor of Technology||__NONE__,14,False
Bachelor of Science||__NONE__,Bachelor of Dental Surgery||__NONE__,14,False
Post Graduate Diploma||__NONE__,Post Graduate Diploma in Business Administration||__NONE__,14,False
Bachelor of Technology||__NONE__,Master of Engineering||__NONE__,12,False
Master of Arts||__NONE__,Master of Science||__NONE__,12,False
Master of Business Administration||__NONE__,Bachelor of Engineering||__NONE__,12,False
Bachelor of Business Administration||__NONE__,Bachelor of Arts||__NONE__,10,False
Bachelor of Commerce||__NONE__,Bachelor of Medicine and Bachelor of Surgery||__NONE__,10,False
Bachelor of Computer Applications||__NONE__,Bachelor of Arts||__NONE__,10,False
Bachelor of Laws||__NONE__,Bachelor of Dental Surgery||__NONE__,10,False
Bachelor of Laws||__NONE__,Bachelor of Technology||__NONE__,10,False
Doctor of Business Administration||__NONE__,Bachelor of Engineering||__NONE__,10,False
Master of Laws||__NONE__,Master of Arts||__NONE__,10,False
10th Standard||__NONE__,Bachelor of Engineering||__NONE__,8,False
10th Standard||__NONE__,Bachelor of Science||__NONE__,8,False
Doctor of Business Administration||__NONE__,Master of Business Administration||__NONE__,8,False
Master of Arts||__NONE__,Bachelor of Arts||__NONE__,8,False
Master of Commerce||__NONE__,Bachelor of Commerce||__NONE__,8,False
Master of Computer Applications||__NONE__,Bachelor of Arts||__NONE__,8,False
Master of Laws||__NONE__,Master of Science||__NONE__,8,False
Master of Science||__NONE__,Bachelor of Medicine and Bachelor of Surgery||__NONE__,8,False
Master of Technology||__NONE__,Bachelor of Commerce||__NONE__,8,False
Master of Technology||__NONE__,Bachelor of Technology||__NONE__,8,False
Post Graduate Diploma||__NONE__,Bachelor of Arts||__NONE__,8,False
Post Graduate Diploma||__NONE__,Bachelor of Medicine and Bachelor of Surgery||__NONE__,8,False
Master of Science||__NONE__,Master of Engineering||__NONE__,7,False
Bachelor of Business Administration||__NONE__,Bachelor of Engineering||__NONE__,6,False
Bachelor of Arts||__NONE__,Bachelor of Computer Applications||__NONE__,5,False
Bachelor of Science||__NONE__,Bachelor of Engineering||__NONE__,5,False
Foundation Degree||__NONE__,Bachelor of Dental Surgery||__NONE__,5,False
Master of Business Administration||__NONE__,Master of Engineering||__NONE__,5,False
10th Standard||__NONE__,12th Standard||__NONE__,4,False
Diploma of Higher Education||__NONE__,Diploma in Engineering||__NONE__,4,False
Doctor of Business Administration||__NONE__,Bachelor of Arts||__NONE__,4,False
Doctor of Business Administration||__NONE__,Bachelor of Business Administration||__NONE__,4,False
Doctor of Business Administration||__NONE__,Bachelor of Computer Applications||__NONE__,4,False
Master of Computer Applications||__NONE__,Bachelor of Computer Applications||__NONE__,4,False
Master of Philosophy||__NONE__,Master of Science||__NONE__,4,False
Master of Research||__NONE__,Master of Engineering||__NONE__,4,False
Bachelor of Commerce||__NONE__,Bachelor of Computer Applications||__NONE__,3,False
Bachelor of Engineering||__NONE__,Bachelor of Science||__NONE__,2,False
Bachelor of Laws||__NONE__,Bachelor of Commerce||__NONE__,2,False
Master of Commerce||__NONE__,Master of Computer Applications||__NONE__,2,False
Master of Commerce||__NONE__,Master of Science||__NONE__,2,False
Master of Technology||__NONE__,Bachelor of Computer Applications||__NONE__,2,False
Bachelor of Commerce||__NONE__,Bachelor of Science||__NONE__,1,False
Bachelor of Engineering||__NONE__,Bachelor of Engineering||__NONE__,517,True
Bachelor of Technology||__NONE__,Bachelor of Technology||__NONE__,466,True
Post Graduate Diploma||__NONE__,Post Graduate Diploma||__NONE__,409,True
Doctor of Philosophy||__NONE__,Doctor of Philosophy||__NONE__,334,True
12th Standard||__NONE__,12th Standard||__NONE__,278,True
Bachelor of Arts||__NONE__,Bachelor of Arts||__NONE__,273,True
Bachelor of Science||__NONE__,Bachelor of Science||__NONE__,272,True
10th Standard||__NONE__,10th Standard||__NONE__,228,True
Bachelor of Commerce||__NONE__,Bachelor of Commerce||__NONE__,228,True
Master of Engineering||__NONE__,Master of Engineering||__NONE__,206,True
Master of Business Administration||__NONE__,Master of Business Administration||__NONE__,192,True
Master of Science||__NONE__,Master of Science||__NONE__,192,True
Diploma in Engineering||__NONE__,Diploma in Engineering||__NONE__,177,True
Bachelor of Computer Applications||__NONE__,Bachelor of Computer Applications||__NONE__,173,True
Bachelor of Business Administration||__NONE__,Bachelor of Business Administration||__NONE__,162,True
