expected_label,predicted_label,count,is_correct
12th Standard,,185,False
Bachelor of Engineering,,153,False
Bachelor of Technology,Bachelor of Engineering,145,False
Bachelor of Arts,,136,False
Master of Science,,130,False
10th Standard,,103,False
Master of Arts,,99,False
Master of Engineering,,98,False
Master of Technology,Master of Science,97,False
Juris Doctor,,90,False
Post Graduate Diploma,,90,False
Post Graduate Diploma,Master of Science,90,False
Bachelor of Science,,89,False
Master of Technology,Master of Engineering,76,False
Bachelor of Business Administration,,75,False
Doctor of Philosophy,,72,False
Bachelor of Music,,71,False
Associate of Applied Science,,64,False
Bachelor of Commerce,,62,False
Bachelor of Technology,,62,False
Bachelor of Computer Applications,,61,False
Associate of Arts,,60,False
Bachelor of Technology,Master of Technology,55,False
Doctor of Education,,54,False
Associate of Science,,50,False
Doctor of Medicine,,50,False
Doctor of Nursing Practice,,50,False
10th Standard,Secondary (Class X),49,False
Bachelor of Social Work,,48,False
Doctor of Psychology,,46,False
Master of Commerce,,45,False
Bachelor of Science,Bachelor of Business Administration,44,False
Master of Science,Master of Business Administration,44,False
Bachelor of Technology,Bachelor of Science,42,False
12th Standard,Senior Secondary (Class XII),41,False
High School Diploma,Post Graduate Diploma,40,False
Master of Business Administration,,37,False
Doctor of Dental Surgery,,36,False
General Educational Development,,36,False
Bachelor of Fine Arts,Bachelor of Arts,35,False
Bachelor of Engineering,Master of Engineering,34,False
Master of Technology,,34,False
Bachelor of Fine Arts,,33,False
Master of Public Health,,33,False
Bachelor of Engineering,Master of Technology,32,False
Master of Business Administration,Master of Science,32,False
Master of Social Work,Master of Science,30,False
Master of Computer Applications,,28,False
Master of Fine Arts,,28,False
Master of Public Administration,,28,False
Diploma in Engineering,Post Graduate Diploma,27,False
Master of Engineering,Master of Science,27,False
Bachelor of Science,Bachelor of Dental Surgery,26,False
High School Diploma,,26,False
Master of Arts,Master of Science,25,False
Bachelor of Social Work,Bachelor of Science,24,False
Doctor of Business Administration,,24,False
Doctor of Pharmacy,,24,False
General Educational Development,Post Graduate Diploma,24,False
Master of Social Work,,24,False
Associate of Science,Master of Science,22,False
Bachelor of Technology,Diploma in Engineering,22,False
Bachelor of Engineering,Diploma in Engineering,20,False
Bachelor of Music,Bachelor of Medicine and Bachelor of Surgery,20,False
Bachelor of Business Administration,Bachelor of Engineering,18,False
Bachelor of Fine Arts,Bachelor of Science,18,False
Bachelor of Music,Bachelor of Science,18,False
Doctor of Dental Surgery,Bachelor of Dental Surgery,18,False
12th Standard,Bachelor of Science,16,False
Diploma in Engineering,,16,False
Master of Business Administration,Bachelor of Arts,16,False
Master of Engineering,Bachelor of Engineering,16,False
Master of Science,Bachelor of Science,16,False
Bachelor of Engineering,Bachelor of Technology,14,False
Master of Public Health,Master of Science,14,False
Post Graduate Diploma,Post Graduate Diploma in Business Administration,14,False
Bachelor of Architecture,,13,False
Bachelor of Arts,Bachelor of Science,13,False
Master of Business Administration,Bachelor of Engineering,13,False
Master of Fine Arts,Master of Arts,13,False
Bachelor of Architecture,Bachelor of Arts,12,False
Bachelor of Architecture,Bachelor of Science,12,False
Bachelor of Technology,Master of Engineering,12,False
Doctor of Pharmacy,Bachelor of Pharmacy,12,False
Master of Science,Bachelor of Medicine and Bachelor of Surgery,12,False
Bachelor of Architecture,Bachelor of Computer Applications,10,False
Bachelor of Arts,Bachelor of Computer Applications,10,False
Bachelor of Business Administration,Bachelor of Arts,10,False
Bachelor of Commerce,Bachelor of Medicine and Bachelor of Surgery,10,False
Bachelor of Computer Applications,Bachelor of Arts,10,False
Doctor of Business Administration,Bachelor of Engineering,10,False
Master of Public Administration,Master of Technology,10,False
Master of Fine Arts,Master of Science,9,False
10th Standard,Bachelor of Engineering,8,False
10th Standard,Bachelor of Science,8,False
Associate of Applied Science,Master of Science,8,False
Associate of Arts,Master of Arts,8,False
Doctor of Business Administration,Master of Business Administration,8,False
Doctor of Psychology,Doctor of Philosophy,8,False
Master of Arts,Bachelor of Arts,8,False
Master of Commerce,Bachelor of Commerce,8,False
Master of Computer Applications,Bachelor of Arts,8,False
Master of Public Administration,Master of Arts,8,False
Master of Public Administration,Master of Science,8,False
Master of Technology,Bachelor of Commerce,8,False
Master of Technology,Bachelor of Technology,8,False
Post Graduate Diploma,Bachelor of Arts,8,False
Post Graduate Diploma,Bachelor of Medicine and Bachelor of Surgery,8,False
Master of Science,Master of Engineering,6,False
Bachelor of Business Administration,Bachelor of Technology,5,False
Bachelor of Fine Arts,Bachelor of Business Administration,5,False
Bachelor of Fine Arts,Bachelor of Computer Applications,5,False
Bachelor of Music,Bachelor of Commerce,5,False
Bachelor of Music,Master of Business Administration,5,False
Bachelor of Science,Bachelor of Medicine and Bachelor of Surgery,5,False
10th Standard,12th Standard,4,False
Associate of Arts,Bachelor of Computer Applications,4,False
Bachelor of Science,Bachelor of Engineering,4,False
Doctor of Business Administration,Bachelor of Arts,4,False
Doctor of Business Administration,Bachelor of Business Administration,4,False
Doctor of Business Administration,Bachelor of Dental Surgery,4,False
Doctor of Medicine,Master of Science,4,False
Doctor of Nursing Practice,Bachelor of Pharmacy,4,False
High School Diploma,Bachelor of Dental Surgery,4,False
Master of Business Administration,Bachelor of Medicine and Bachelor of Surgery,4,False
Master of Business Administration,Master of Engineering,4,False
Master of Business Administration,Master of Technology,4,False
Master of Computer Applications,Bachelor of Computer Applications,4,False
Master of Engineering,Master of Technology,4,False
Master of Fine Arts,Master of Computer Applications,4,False
Master of Public Health,Master of Arts,4,False
Bachelor of Commerce,Bachelor of Computer Applications,3,False
Bachelor of Engineering,Bachelor of Science,3,False
Master of Public Health,Doctor of Philosophy,3,False
Master of Commerce,Master of Computer Applications,2,False
Master of Commerce,Master of Science,2,False
Master of Technology,Bachelor of Computer Applications,2,False
Bachelor of Commerce,Bachelor of Science,1,False
Bachelor of Music,Bachelor of Engineering,1,False
Bachelor of Engineering,Bachelor of Engineering,526,True
Bachelor of Technology,Bachelor of Technology,466,True
Post Graduate Diploma,Post Graduate Diploma,414,True
Doctor of Philosophy,Doctor of Philosophy,324,True
12th Standard,12th Standard,278,True
Bachelor of Science,Bachelor of Science,270,True
Bachelor of Arts,Bachelor of Arts,259,True
10th Standard,10th Standard,228,True
Bachelor of Commerce,Bachelor of Commerce,228,True
Master of Science,Master of Science,206,True
