expected_label,predicted_label,count,is_correct
Bachelor of Engineering,,292,False
Bachelor of Arts,,233,False
Doctor of Philosophy,,228,False
12th Standard,,226,False
Doctoral Degree,,211,False
Post Graduate Diploma,,192,False
Master of Engineering,,188,False
Bachelor of Science,,179,False
Advanced Diploma,,160,False
Bachelor of Commerce,,160,False
Master of Science,,157,False
HBO Bachelor,,153,False
WO Bachelor,,153,False
10th Standard,,152,False
Master of Arts,,147,False
Bachelor of Technology,,133,False
Bachelor Degree,,123,False
Foundation Degree,,122,False
Bachelor of Technology,Bachelor of Engineering,119,False
Master of Business Administration,,116,False
WO Master,,116,False
Laurea Triennale,,113,False
Licence Professionnelle,,113,False
Bachelor of Medicine Bachelor of Surgery,Bachelor of Medicine and Bachelor of Surgery,111,False
Master of Technology,,110,False
Bachelor of Medicine Bachelor of Surgery,,104,False
HBO Master,,104,False
Master Degree,,100,False
Advanced Level,,97,False
Higher Certificate,,96,False
Doutorado,,93,False
Doctorado,,91,False
Doctorat,,87,False
Dottorato di Ricerca,,87,False
Bacharelado,,84,False
Licenciatura,,84,False
Titulo de Grado,,84,False
Bachelor of Business Administration,,82,False
Laurea Magistrale,,81,False
Especializacao,,80,False
Ontario Secondary School Diploma,,80,False
Bachelor Honours Degree,,79,False
Bachelor's Degree,,79,False
Juris Doctor,,76,False
Master of Technology,Master of Engineering,76,False
Senior Secondary Certificate of Education,,76,False
General Certificate of Secondary Education,,75,False
Bachelor of Computer Applications,,74,False
Doctor of Education,,72,False
Mestrado,,69,False
Ensino Medio,,68,False
VWO Diploma,,68,False
Bachelor of Music,,66,False
Bachelor of Laws,,64,False
Certificate III,,64,False
Certificate IV,,64,False
National Senior Certificate,,64,False
Staatsexamen,,64,False
Short Cycle Qualification,,63,False
Diplome d'Ingenieur,,62,False
GCE Ordinary Level,,60,False
Laurea Magistrale a Ciclo Unico,,60,False
National Certificate of Educational Achievement Level 3,,60,False
Zhuanke Diploma,,60,False
High School Diploma,,58,False
Diploma of Higher Education,,56,False
Doctoral Degree,Doctor of Philosophy,56,False
Master's Degree,,56,False
Bachelor of Technology,Master of Technology,55,False
Master of Commerce,,54,False
Associate of Applied Science,,52,False
Baccalaureat,,52,False
Brevet de Technicien Superieur,,52,False
GCE Advanced Level,,52,False
Honours Degree,,51,False
New Zealand Diploma,,51,False
Magister Artium,,50,False
Master Universitario,,50,False
Associate of Arts,,49,False
Licence,,49,False
Bachelor of Social Work,,48,False
General Educational Development,,48,False
College Diploma,,47,False
Master of Computer Applications,,46,False
Certificate of Higher Education,,45,False
Diplom,,45,False
Diploma di Maturita,,45,False
Higher National Certificate,,45,False
Higher National Diploma,,45,False
Postgraduate Certificate,,45,False
Bachelor of Science,Bachelor of Business Administration,44,False
Master of Science,Master of Business Administration,44,False
Bachelor of Architecture,,43,False
Bachelor of Fine Arts,,43,False
Doctor of Medicine,,42,False
Associate of Science,,41,False
Doctor of Nursing Practice,,41,False
Master of Public Health,,41,False
Graduate Certificate,,40,False
Doctor of Psychology,,37,False
Master of Laws,,37,False
Master of Research,,37,False
Bachelor of Fine Arts,Bachelor of Arts,35,False
Bachelor of Engineering,Master of Engineering,34,False
Master of Applied Science,,34,False
Graduate Diploma,,33,False
Abitur,,32,False
Bachelor of Engineering,Master of Technology,32,False
Bachillerato,,32,False
Doctor of Business Administration,,32,False
Postgraduate Diploma,,32,False
Polytechnic Diploma,,31,False
Bachelor Degree,Bachelor of Science,30,False
Doctor of Dental Surgery,,29,False
Master,,29,False
Master of Fine Arts,,29,False
Master of Philosophy,,29,False
Master of Public Administration,,29,False
Master of Social Work,,29,False
Diploma in Engineering,,26,False
Postgraduate Diploma,Post Graduate Diploma,26,False
Bachelor of Science,Bachelor of Dental Surgery,25,False
Graduate Diploma,Post Graduate Diploma,25,False
Foundation Degree,Foundation,24,False
Foundation Degree,UK Foundation,24,False
Foundation Degree,United Kingdom Foundation,24,False
Associate of Science,Master of Science,22,False
Bachelor of Technology,Diploma in Engineering,22,False
Diplome d'Ingenieur,Diploma in Engineering,22,False
Master of Applied Science,Master of Science,22,False
Bachelor of Engineering,Bachelor of Technology,21,False
Associate Degree,,20,False
Bachelor of Engineering,Diploma in Engineering,20,False
Bachelor of Music,Bachelor of Medicine and Bachelor of Surgery,20,False
Tecnologo,,20,False
Bachelor of Business Administration,Bachelor of Engineering,18,False
Doctor of Dental Surgery,Bachelor of Dental Surgery,18,False
Doctor of Pharmacy,,18,False
Master of Engineering,Bachelor of Engineering,18,False
Master of Philosophy,Doctor of Philosophy,18,False
Diploma in Engineering,Post Graduate Diploma,17,False
12th Standard,Bachelor of Science,16,False
Doctor of Business Administration,Bachelor of Engineering,16,False
Doctorat,Doctor of Philosophy,16,False
Dottorato di Ricerca,Doctor of Philosophy,16,False
Master Degree,Master of Science,16,False
Master of Business Administration,Bachelor of Arts,16,False
Master of Science,Bachelor of Science,16,False
Master of Social Work,Master of Science,16,False
Polytechnic Diploma,Post Graduate Diploma,16,False
Bachelor of Arts,Bachelor of Computer Applications,15,False
Bachelor of Social Work,Bachelor of Science,15,False
Master of Business Administration,Bachelor of Engineering,15,False
Doutorado,Doctor of Philosophy,14,False
Master of Fine Arts,Master of Arts,13,False
