raw_input,expected_degree,predicted_degree,expected_field,predicted_field,status,layer_used,confidence,fuzzy_score,error_category
10th Standard qualification,10th Standard,12th Standard,,,review_needed,L2,0.7052,70.5,wrong_degree
Indian 10th Standard qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India 10th Standard qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
IN 10th Standard qualification,10th Standard,12th Standard,,,review_needed,L2,0.7052,70.5,wrong_degree
10TH qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian 10TH,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian 10TH qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian 10TH (India),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian 10TH (IN),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian 10TH (school qualification),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India 10TH,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India 10TH qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India 10TH (India),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India 10TH (IN),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India 10TH (school qualification),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
IN 10TH qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian CBSE10th qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India CBSE10th qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
cbse 10th qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian cbse 10th qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India cbse 10th qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
IN cbse 10th qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
X (Hons) qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X (Hons),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X (Hons) qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X (Hons) (India),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X (Hons) (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X (Hons) (school qualification),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X (Hons),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X (Hons) qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X (Hons) (India),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X (Hons) (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X (Hons) (school qualification),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN X (Hons) qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
SSC (Hons) qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian SSC (Hons),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian SSC (Hons) qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian SSC (Hons) (India),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian SSC (Hons) (IN),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian SSC (Hons) (school qualification),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India SSC (Hons),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India SSC (Hons) qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India SSC (Hons) (India),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India SSC (Hons) (IN),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India SSC (Hons) (school qualification),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
IN SSC (Hons) qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
X qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian X (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India X,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
