expected_label,predicted_label,count,is_correct
Bachelor of Engineering||__NONE__,__NONE__||__NONE__,292,False
Bachelor of Arts||__NONE__,__NONE__||__NONE__,233,False
Doctor of Philosophy||__NONE__,__NONE__||__NONE__,228,False
12th Standard||__NONE__,__NONE__||__NONE__,226,False
Doctoral Degree||__NONE__,__NONE__||__NONE__,211,False
Post Graduate Diploma||__NONE__,__NONE__||__NONE__,192,False
Master of Engineering||__NONE__,__NONE__||__NONE__,188,False
Bachelor of Science||__NONE__,__NONE__||__NONE__,179,False
Advanced Diploma||__NONE__,__NONE__||__NONE__,160,False
Bachelor of Commerce||__NONE__,__NONE__||__NONE__,160,False
Master of Science||__NONE__,__NONE__||__NONE__,157,False
HBO Bachelor||__NONE__,__NONE__||__NONE__,153,False
WO Bachelor||__NONE__,__NONE__||__NONE__,153,False
10th Standard||__NONE__,__NONE__||__NONE__,152,False
Master of Arts||__NONE__,__NONE__||__NONE__,147,False
Bachelor of Technology||__NONE__,__NONE__||__NONE__,133,False
Bachelor Degree||__NONE__,__NONE__||__NONE__,123,False
Foundation Degree||__NONE__,__NONE__||__NONE__,122,False
Bachelor of Technology||__NONE__,Bachelor of Engineering||__NONE__,119,False
Master of Business Administration||__NONE__,__NONE__||__NONE__,116,False
WO Master||__NONE__,__NONE__||__NONE__,116,False
Laurea Triennale||__NONE__,__NONE__||__NONE__,113,False
Licence Professionnelle||__NONE__,__NONE__||__NONE__,113,False
Bachelor of Medicine Bachelor of Surgery||__NONE__,Bachelor of Medicine and Bachelor of Surgery||__NONE__,111,False
Master of Technology||__NONE__,__NONE__||__NONE__,110,False
Bachelor of Medicine Bachelor of Surgery||__NONE__,__NONE__||__NONE__,104,False
HBO Master||__NONE__,__NONE__||__NONE__,104,False
Master Degree||__NONE__,__NONE__||__NONE__,100,False
Advanced Level||__NONE__,__NONE__||__NONE__,97,False
Higher Certificate||__NONE__,__NONE__||__NONE__,96,False
Doutorado||__NONE__,__NONE__||__NONE__,93,False
Doctorado||__NONE__,__NONE__||__NONE__,91,False
Doctorat||__NONE__,__NONE__||__NONE__,87,False
Dottorato di Ricerca||__NONE__,__NONE__||__NONE__,87,False
Bacharelado||__NONE__,__NONE__||__NONE__,84,False
Licenciatura||__NONE__,__NONE__||__NONE__,84,False
Titulo de Grado||__NONE__,__NONE__||__NONE__,84,False
Bachelor of Business Administration||__NONE__,__NONE__||__NONE__,82,False
Laurea Magistrale||__NONE__,__NONE__||__NONE__,81,False
Especializacao||__NONE__,__NONE__||__NONE__,80,False
Ontario Secondary School Diploma||__NONE__,__NONE__||__NONE__,80,False
Bachelor Honours Degree||__NONE__,__NONE__||__NONE__,79,False
Bachelor's Degree||__NONE__,__NONE__||__NONE__,79,False
Juris Doctor||__NONE__,__NONE__||__NONE__,76,False
Master of Technology||__NONE__,Master of Engineering||__NONE__,76,False
Senior Secondary Certificate of Education||__NONE__,__NONE__||__NONE__,76,False
General Certificate of Secondary Education||__NONE__,__NONE__||__NONE__,75,False
Bachelor of Computer Applications||__NONE__,__NONE__||__NONE__,74,False
Doctor of Education||__NONE__,__NONE__||__NONE__,72,False
Mestrado||__NONE__,__NONE__||__NONE__,69,False
Ensino Medio||__NONE__,__NONE__||__NONE__,68,False
VWO Diploma||__NONE__,__NONE__||__NONE__,68,False
Bachelor of Music||__NONE__,__NONE__||__NONE__,66,False
Bachelor of Laws||__NONE__,__NONE__||__NONE__,64,False
Certificate III||__NONE__,__NONE__||__NONE__,64,False
Certificate IV||__NONE__,__NONE__||__NONE__,64,False
National Senior Certificate||__NONE__,__NONE__||__NONE__,64,False
Staatsexamen||__NONE__,__NONE__||__NONE__,64,False
Short Cycle Qualification||__NONE__,__NONE__||__NONE__,63,False
Diplome d'Ingenieur||__NONE__,__NONE__||__NONE__,62,False
GCE Ordinary Level||__NONE__,__NONE__||__NONE__,60,False
Laurea Magistrale a Ciclo Unico||__NONE__,__NONE__||__NONE__,60,False
National Certificate of Educational Achievement Level 3||__NONE__,__NONE__||__NONE__,60,False
Zhuanke Diploma||__NONE__,__NONE__||__NONE__,60,False
High School Diploma||__NONE__,__NONE__||__NONE__,58,False
Diploma of Higher Education||__NONE__,__NONE__||__NONE__,56,False
Doctoral Degree||__NONE__,Doctor of Philosophy||__NONE__,56,False
Master's Degree||__NONE__,__NONE__||__NONE__,56,False
Bachelor of Technology||__NONE__,Master of Technology||__NONE__,55,False
Master of Commerce||__NONE__,__NONE__||__NONE__,54,False
Associate of Applied Science||__NONE__,__NONE__||__NONE__,52,False
Baccalaureat||__NONE__,__NONE__||__NONE__,52,False
Brevet de Technicien Superieur||__NONE__,__NONE__||__NONE__,52,False
GCE Advanced Level||__NONE__,__NONE__||__NONE__,52,False
Honours Degree||__NONE__,__NONE__||__NONE__,51,False
New Zealand Diploma||__NONE__,__NONE__||__NONE__,51,False
Magister Artium||__NONE__,__NONE__||__NONE__,50,False
Master Universitario||__NONE__,__NONE__||__NONE__,50,False
Associate of Arts||__NONE__,__NONE__||__NONE__,49,False
Licence||__NONE__,__NONE__||__NONE__,49,False
Bachelor of Social Work||__NONE__,__NONE__||__NONE__,48,False
General Educational Development||__NONE__,__NONE__||__NONE__,48,False
College Diploma||__NONE__,__NONE__||__NONE__,47,False
Master of Computer Applications||__NONE__,__NONE__||__NONE__,46,False
Certificate of Higher Education||__NONE__,__NONE__||__NONE__,45,False
Diploma di Maturita||__NONE__,__NONE__||__NONE__,45,False
Diplom||__NONE__,__NONE__||__NONE__,45,False
Higher National Certificate||__NONE__,__NONE__||__NONE__,45,False
Higher National Diploma||__NONE__,__NONE__||__NONE__,45,False
Postgraduate Certificate||__NONE__,__NONE__||__NONE__,45,False
Bachelor of Science||__NONE__,Bachelor of Business Administration||__NONE__,44,False
Master of Science||__NONE__,Master of Business Administration||__NONE__,44,False
Bachelor of Architecture||__NONE__,__NONE__||__NONE__,43,False
Bachelor of Fine Arts||__NONE__,__NONE__||__NONE__,43,False
Doctor of Medicine||__NONE__,__NONE__||__NONE__,42,False
Associate of Science||__NONE__,__NONE__||__NONE__,41,False
Doctor of Nursing Practice||__NONE__,__NONE__||__NONE__,41,False
Master of Public Health||__NONE__,__NONE__||__NONE__,41,False
Graduate Certificate||__NONE__,__NONE__||__NONE__,40,False
Doctor of Psychology||__NONE__,__NONE__||__NONE__,37,False
Master of Laws||__NONE__,__NONE__||__NONE__,37,False
Master of Research||__NONE__,__NONE__||__NONE__,37,False
Bachelor of Fine Arts||__NONE__,Bachelor of Arts||__NONE__,35,False
Bachelor of Engineering||__NONE__,Master of Engineering||__NONE__,34,False
Master of Applied Science||__NONE__,__NONE__||__NONE__,34,False
Graduate Diploma||__NONE__,__NONE__||__NONE__,33,False
Abitur||__NONE__,__NONE__||__NONE__,32,False
Bachelor of Engineering||__NONE__,Master of Technology||__NONE__,32,False
Bachillerato||__NONE__,__NONE__||__NONE__,32,False
Doctor of Business Administration||__NONE__,__NONE__||__NONE__,32,False
Postgraduate Diploma||__NONE__,__NONE__||__NONE__,32,False
Polytechnic Diploma||__NONE__,__NONE__||__NONE__,31,False
Bachelor Degree||__NONE__,Bachelor of Science||__NONE__,30,False
Doctor of Dental Surgery||__NONE__,__NONE__||__NONE__,29,False
Master of Fine Arts||__NONE__,__NONE__||__NONE__,29,False
Master of Philosophy||__NONE__,__NONE__||__NONE__,29,False
Master of Public Administration||__NONE__,__NONE__||__NONE__,29,False
Master of Social Work||__NONE__,__NONE__||__NONE__,29,False
Master||__NONE__,__NONE__||__NONE__,29,False
Diploma in Engineering||__NONE__,__NONE__||__NONE__,26,False
Postgraduate Diploma||__NONE__,Post Graduate Diploma||__NONE__,26,False
Bachelor of Science||__NONE__,Bachelor of Dental Surgery||__NONE__,25,False
Graduate Diploma||__NONE__,Post Graduate Diploma||__NONE__,25,False
Foundation Degree||__NONE__,Foundation||__NONE__,24,False
Foundation Degree||__NONE__,UK Foundation||__NONE__,24,False
Foundation Degree||__NONE__,United Kingdom Foundation||__NONE__,24,False
Associate of Science||__NONE__,Master of Science||__NONE__,22,False
Bachelor of Technology||__NONE__,Diploma in Engineering||__NONE__,22,False
Diplome d'Ingenieur||__NONE__,Diploma in Engineering||__NONE__,22,False
Master of Applied Science||__NONE__,Master of Science||__NONE__,22,False
Bachelor of Engineering||__NONE__,Bachelor of Technology||__NONE__,21,False
Associate Degree||__NONE__,__NONE__||__NONE__,20,False
Bachelor of Engineering||__NONE__,Diploma in Engineering||__NONE__,20,False
Bachelor of Music||__NONE__,Bachelor of Medicine and Bachelor of Surgery||__NONE__,20,False
Tecnologo||__NONE__,__NONE__||__NONE__,20,False
Bachelor of Business Administration||__NONE__,Bachelor of Engineering||__NONE__,18,False
Doctor of Dental Surgery||__NONE__,Bachelor of Dental Surgery||__NONE__,18,False
Doctor of Pharmacy||__NONE__,__NONE__||__NONE__,18,False
Master of Engineering||__NONE__,Bachelor of Engineering||__NONE__,18,False
Master of Philosophy||__NONE__,Doctor of Philosophy||__NONE__,18,False
Diploma in Engineering||__NONE__,Post Graduate Diploma||__NONE__,17,False
12th Standard||__NONE__,Bachelor of Science||__NONE__,16,False
Doctor of Business Administration||__NONE__,Bachelor of Engineering||__NONE__,16,False
Doctorat||__NONE__,Doctor of Philosophy||__NONE__,16,False
Dottorato di Ricerca||__NONE__,Doctor of Philosophy||__NONE__,16,False
Master Degree||__NONE__,Master of Science||__NONE__,16,False
Master of Business Administration||__NONE__,Bachelor of Arts||__NONE__,16,False
Master of Science||__NONE__,Bachelor of Science||__NONE__,16,False
